date,author,abstract,title
" 19 February 2019, 25 April 2019","David G. Dritschel,Mohammad Reza Jalali","The Green–Naghdi equations are an extension of the shallow-water equations that capture the effects of finite fluid depth at arbitrary order in the characteristic height to width aspect ratio ,. The shallow-water equations capture these effects to first order only, resulting in a relatively simple two-dimensional fluid-dynamical model for the layer horizontal velocity and depth. The Green–Naghdi equations, like the shallow-water equations, are two-dimensional fluid equations expressing momentum and mass conservation. There are different ‘levels’ of the Green–Naghdi equations of rapidly increasing complexity. In the present paper we focus on the behaviour of the lowest-level Green–Naghdi equations for a rotating shallow fluid layer, paying close attention to the flow structure at small spatial scales. We compare directly with the shallow-water equations and study the differences arising in their solutions. By recasting the equations into a form which both explicitly conserves Rossby–Ertel potential vorticity and represents the leading-order departure from geostrophic–hydrostatic balance, we are able to accurately describe both the ‘slow’ predominantly sub-inertial balanced dynamics and the ‘fast’ residual imbalanced dynamics. This decomposition has proved fruitful in studies of shallow-water dynamics but appears not to have been used before in studies of Green–Naghdi dynamics. Importantly, we find that this decomposition exposes a fundamental inconsistency in the Green–Naghdi equations for horizontal scales less than the mean fluid depth, scales for which the Green–Naghdi equations are supposed to more accurately model. Such scales exhibit pronounced activity compared to the shallow-water equations, and in particular spectra for certain fields like the divergence are flat or rising at high wavenumbers. This indicates a lack of convergence at small scales, and is also consistent with the poor convergence of total energy with resolution compared to the shallow-water equations. We suggest a mathematical reformulation of the Green–Naghdi equations which may improve convergence at small scales.","
On the regularity of the Green–Naghdi equations for a rotating shallow fluid layer
"
" 19 February 2019, 25 April 2019","H. V. Moradi,J. M. Floryan","The primary and secondary laminar flows in annuli with longitudinal grooves and driven by pressure gradients have been analysed. There exist geometric configurations reducing pressure losses in primary flows in spite of an increase of the wall wetted area. The parameter ranges when such flows exist have been determined using linear stability theory. Two types of secondary flows have been identified. The first type has the form of the classical travelling waves driven by shear and modified by the grooves. The axisymmetric waves dominate for sufficiently large radii of the annuli while different spiral waves dominate for small radii. The secondary flow topology is unique in the former case and has the form of axisymmetric rings propagating in the axial direction. Topologies in the latter case are not unique, as spiral waves with left and right twists can emerge under the same conditions, resulting in flow structures varying from spatial rings to rhombic forms. The most intense motion of this type occurs near the walls. The second type of secondary flow has the form of travelling waves driven by inertial effects with characteristics very distinct from the shear waves. Its critical Reynolds number increases proportionally to ,, where , denotes the groove amplitude, while the amplification rates increase proportionally to ,. These waves exist only if , is above a well-defined minimum and their axisymmetric forms dominate, with the most intense motion occurring near the annulus mid-section. Geometries that give preference to the latter waves have been identified. It is shown that the drag-reducing topographies stabilize the classical travelling waves; these waves are driven by viscous shear, so reduction of this shear decreases their amplification. The same topographies destabilize the new waves; these waves are driven by an inviscid mechanism associated with the formation of circumferential inflection points, and an increase of the groove amplitude increases their amplification. The flow conditions when the presence of grooves can be ignored, i.e. the annuli can be treated as being hydraulically smooth, have been determined.","
Drag reduction and instabilities of flows in longitudinally grooved annuli
"
" 19 February 2019, 25 April 2019","A. Doak,J.-M. Vanden-Broeck","We consider a potential flow model of axisymmetric waves travelling on a ferrofluid jet. The ferrofluid coats a copper wire, through which an electric current is run. The induced azimuthal magnetic field magnetises the ferrofluid, which in turn stabilises the well known Plateau–Rayleigh instability seen in axisymmetric capillary jets. This model is of interest because the stabilising mechanism allows for axisymmetric magnetohydrodynamical solitary waves. A numerical scheme capable of computing steady periodic, solitary and generalised solitary wave solutions is presented. It is found that the solution space for the model is very similar to that of the classical problem of two-dimensional gravity–capillary waves.","
Travelling wave solutions on an axisymmetric ferrofluid jet
"
" 19 February 2019, 25 April 2019","Ismail Hameduddin,Tamer A. Zaki","This work demonstrates that the popular arithmetic mean conformation tensor frequently used in the analysis of turbulent viscoelastic flows is not a good representative of the ensemble. Alternative means based on recent developments in the literature are proposed, namely, the geometric and log-Euclidean means. These means are mathematically consistent with the Riemannian structure of the manifold of positive-definite tensors, on which the conformation tensor lives, and have useful properties that make them attractive alternatives to the arithmetic mean. Using a turbulent FENE-P channel flow dataset, it is shown that these two alternatives are physically representative of the ensemble. By definition, these means minimize the geodesic distance to realizations and exactly preserve the scalar geometric mean of the volume and of the principal stretches. The proposed geometric and log-Euclidean means have clear physical interpretations and are attractive quantities for turbulence modelling.","
The mean conformation tensor in viscoelastic turbulence
"
" 19 February 2019, 25 April 2019","G. Karapetsas,D. Photeinos,Y. Dimakopoulos,J. Tsamopoulos","We investigate the dynamics of the buoyancy-driven rise of a bubble inside a viscoplastic material when it is subjected to an acoustic pressure field. To this end, we develop a simplified model based on the Lagrangian formalism assuming a pulsating bubble with a spherical shape. Moreover, to account for the effects of a deformable bubble, we also perform detailed two-dimensional axisymmetric simulations. Qualitative agreement is found between the simplified approach and the detailed numerical simulations. Our results reveal that the acoustic excitation enhances the mobility of the bubble, by increasing the size of the yielded region that surrounds the bubble, thereby decreasing the effective viscosity of the liquid and accelerating the motion of the bubble. This effect is significantly more pronounced at the resonance frequency, and it is shown that bubble motion takes place even for Bingham numbers (,) that can be orders of magnitude higher than the critical , for bubble entrapment in the case of a static pressure field.","
Dynamics and motion of a gas bubble in a viscoplastic medium under acoustic excitation
"
" 19 February 2019, 25 April 2019","X. Chen,G. L. Huang,C. B. Lee","This study investigates the stability and transition of Görtler vortices in a hypersonic boundary layer using linear stability theory and direct numerical simulations. In the simulations, Görtler vortices are separately excited by wall blowing and suction with spanwise wavelengths of 3, 6 and 9 mm. In addition to primary streaks with the same wavelength as the blowing and suction, secondary streaks with half the wavelength also emerge in the 6 and 9 mm cases. The streaks develop into mushroom structures before breaking down. The breakdown processes of the three cases are dominated by a sinuous-mode instability, a varicose-mode instability and a combination of the two, respectively. Both fundamental and subharmonic instabilities are relevant in all cases. Multiple modes are identified in the secondary-instability stage, some of which originate from the primary instabilities (first and second Mack modes). We demonstrate that the first Mack mode can be destabilized to either a varicose-mode or sinuous-mode streak instability depending on its frequency and wavelength, whereas the second Mack mode undergoes a stabilizing stage before turning into a varicose mode in the 6 and 9 mm cases. An energy analysis reveals the stabilizing and destabilizing mechanisms of the primary instabilities under the influence of Görtler vortices, highlighting the role played by the spanwise production based on the spanwise gradient of the streamwise velocity in both varicose and sinuous modes. The effects introduced by the secondary streaks are examined by filtering the secondary streaks in two new simulations with nominally identical conditions to those of the 6 and 9 mm cases. Remarkably, the secondary streaks can destabilize the Görtler vortices, therefore advancing the transition. The stability theory results are in good agreement with those from direct numerical simulations.","
Hypersonic boundary layer transition on a concave wall: stationary Görtler vortices
"
" 19 February 2019, 25 April 2019","H. Ji,C. Falcon,A. Sadeghpour,Z. Zeng,Y. S. Ju,A. L. Bertozzi","Recent experiments on thin films flowing down a vertical fibre with varying nozzle diameters present a wealth of new dynamics that illustrate the need for more advanced theory. We present a detailed analysis using a full lubrication model that includes slip boundary conditions, nonlinear curvature terms and a film stabilization term. This study brings to focus the presence of a stable liquid layer playing an important role in the full dynamics. We propose a combination of these physical effects to explain the observed velocity and stability of travelling droplets in the experiments and their transition to isolated droplets. This is also supported by stability analysis of the travelling wave solution of the model.","
Dynamics of thin liquid films on vertical cylindrical fibres
"
" 18 February 2019, 25 April 2019","Satarupa Dutta,Abir Ghosh,Partho Sarathi Gooh Pattader,Dipankar Bandyopadhyay","Application of an electric field across the pressure-driven stratified flow of a pair of miscible fluids inside a microchannel manifests interesting electrohydrodynamic (EHD) instabilities. Experiments uncover distinctive instability regimes with an increase in electric field Rayleigh number (,) – a linear-onset regime, a time-periodic nonlinear regime analogous to the von Kármán vortex street in the downstream and a regime with coherent flow patterns. The experiments also reveal that such linear and nonlinear instabilities can be stimulated non-invasively in a microchannel to mix or de-mix fluids simply by turning the electric field on or off, indicating the suitability of the process for on-demand micromixing. The characteristics of these instabilities have been theoretically investigated with the help of an Orr–Sommerfeld framework, which discloses the possibility of five distinctive finite-wavenumber modes for the instability. The EHD stresses originating due to the application of electric field stimulate a pair of shorter-wavelength electric field modes beyond a critical value of ,. Increase in the levels of charge injection and EHD stresses lower the critical , of these modes. The relatively longer-wavelength viscous mode is found to appear when the viscosity stratification between the fluid layers is high. Beyond a threshold Schmidt number (,), a diffusive mode is also found to appear near the mixed interfacial region. A thinner interface between the fluids at a higher , helps this mode to behave as the interfacial mode of immiscible fluids. Contrast of ionic mobility in the fluids leads to the appearance of the K-mode of instability at much shorter wavelengths. The reported phenomena can be of significance in the domains of microscale mixing, pumping, heat exchange, mass transfer and reaction engineering.","
Electric field mediated von Kármán vortices in stratified microflows: transition from linear instabilities to coherent mixing
"
" 18 February 2019, 25 April 2019","Lorna J. Ayton,Paruchuri Chaitanya","This paper presents an analytic solution for gust–aerofoil interaction noise for flat plates with spanwise-varying periodic leading edges in uniform mean flow. The solution is obtained by solving the linear inviscid equations via separation of variables and the Wiener–Hopf technique, and is suitable for calculating the far-field noise generated by any leading edge with a single-valued piecewise linear periodic spanwise geometry. Acoustic results for homogeneous isotropic turbulent flow are calculated by integrating the single-gust solution over a wavenumber spectrum. The far-sound pressure level is calculated for five test-case geometries; sawtooth serration, slitted ,-root, slitted ,-root, chopped peak and square wave, and compared to experimental measurements. Good agreement is seen over a range of frequencies and tip-to-root ratios (varying the sharpness of the serration). The analytic solution is then used to calculate the propagating pressure along the leading edge of the serration for fixed spanwise wavenumbers, i.e. only the contribution to the surface pressure which propagates to the far field. Using these results, two primary mechanisms for noise reduction are discussed; tip and root interference, and a redistribution of energy from cuton modes to cutoff modes. A secondary noise-reduction mechanism due to nonlinear features is also discussed and seen to be particularly important for leading edges with very narrow slits.","
An analytical and experimental investigation of aerofoil–turbulence interaction noise for plates with spanwise-varying leading edges
"
" 18 February 2019, 25 April 2019","J. D. Pickles,B. R. Mettu,P. K. Subbareddy,V. Narayanaswamy","Interactions between an oblique shock wave generated by a sharp fin placed on a cylindrical surface and the incoming boundary layer are investigated to unravel the mean features of the resulting shock/boundary layer interaction (SBLI) unit. This fin-on-cylinder SBLI unit has several unique features caused by the three-dimensional (3-D) relief offered by the cylindrical surface that noticeably alter the shock structure. Complementary experimental and computational studies are made to delineate both the surface and off-body flow features of the fin-on-cylinder SBLI unit and to obtain a detailed understanding of the mechanisms that dictate the mean flow and wall pressure features of the SBLI unit. Results show that the fin-on-cylinder SBLI exhibits substantial deviation from quasi-conical symmetry that is observed in planar fin SBLI. Furthermore, the separated flow growth rate appears to decrease with downstream distance and the separation size is consistently smaller than the planar fin SBLI with the same inflow and fin configurations. The causes for the observed diminution of the separated flow and its downstream growth rate were investigated in the light of changes caused by the cylinder curvature on the inviscid as well as separation shock. It was found that the inviscid shock gets progressively weakened in the region close to the triple point with downstream distance due to the 3-D relief effect from cylinder curvature. This weakening of the inviscid shock feeds into the separation shock, which is also independently impacted by the 3-D relief, to result in the observed modifications in the fin-on-cylinder SBLI unit.","
On the mean structure of sharp-fin-induced shock wave/turbulent boundary layer interactions over a cylindrical surface
"
